mpg,displ,hp,weight,accel,size
18,250,88,3139,14.5,15
9,304,193,4732,18.5,20
36.1,91,60,1800,16.4,10
18.5,250,98,3525,19,15
34.3,97,78,2188,15.8,10
32.9,119,100,2615,14.8,10
32.2,108,75,2265,15.2,10
22,121,76,2511,18,10
15,302,130,4295,14.9,20
17,302,140,3449,10.5,20
44,97,52,2130,24.6,10
24.5,151,88,2740,16,10
32,135,84,2295,11.6,10
14,351,148,4657,13.5,20
15,400,150,3761,9.5,20
13,307,130,4098,14,20
36,79,58,1825,18.6,10
31,119,82,2720,19.4,10
32,71,65,1836,21,10
21.5,80,110,2720,13.5,7.5
19,225,95,3264,16,15
17,231,110,3907,21,15
16,302,140,4141,14,20
15,383,170,3563,10,20
23,140,78,2592,18.5,10
26,98,90,2265,15.5,10
32,144,96,2665,13.9,10
24,113,95,2372,15,10
21,231,110,3039,15,15
31.3,120,75,2542,17.5,10
32.7,168,132,2910,11.4,15
15,304,150,3892,12.5,20
23,140,83,2639,17,10
17.6,225,85,3465,16.6,15
28,107,86,2464,15.5,10
24,116,75,2158,15.5,10
14,302,140,4638,16,20
18.1,302,139,3205,11.2,20
36,98,70,2125,17.3,10
29,85,52,2035,22.2,10
35.1,81,60,1760,16.1,10
36,135,84,2370,13,10
16.5,351,138,3955,13.2,20
16,400,180,4220,11.1,20
29.9,98,65,2380,20.7,10
31,79,67,1950,19,10
27.2,119,97,2300,14.7,10
14,318,150,4457,13.5,20
32.1,98,70,2120,15.5,10
15,250,100,3336,17,15
12,383,180,4955,11.5,20
17.6,302,129,3725,13.4,20
25,113,95,2228,14,10
28.4,151,90,2670,16,10
29,98,83,2219,16.5,10
30.9,105,75,2230,14.5,10
20,232,100,2914,16,15
20.8,200,85,3070,16.7,15
22,232,112,2835,14.7,15
38,91,67,1965,15,10
31,71,65,1773,19,10
19,250,88,3302,15.5,15
16,250,100,3781,17,15
25,140,75,2542,17,10
22,225,100,3233,15.4,15
26,91,70,1955,20.5,10
13,350,145,4055,12,20
19.9,260,110,3365,15.5,20
11,318,210,4382,13.5,20
28,98,80,2164,15,10
15.5,318,145,4140,13.7,20
26,96,69,2189,18,10
14,318,150,4237,14.5,20
12,429,198,4952,11.5,20
24.2,146,120,2930,13.8,15
25,140,92,2572,14.9,10
22.5,232,90,3085,17.6,15
26.8,173,115,2700,12.9,15
23,198,95,2904,16,15
26,116,75,2246,14,10
30.7,145,76,3160,19.6,15
31,79,67,2000,16,10
27.2,141,71,3190,24.8,10
21.5,231,115,3245,15.4,15
29,135,84,2525,16,10
20,114,91,2582,14,10
13,350,150,4699,14.5,20
14,440,215,4312,8.5,20
38,91,67,1995,16.2,10
13,400,175,5140,12,20
24.5,98,60,2164,22.1,10
13,350,175,4100,13,20
25,181,110,2945,16.4,15
24,113,95,2278,15.5,10
34.1,91,68,1985,16,10
13,400,150,4464,12,20
44.6,91,67,1850,13.8,10
20.5,200,95,3155,18.2,15
18,258,110,2962,13.5,15
23.2,156,105,2745,16.7,10
20,130,102,3150,15.7,10
24,121,110,2660,14,10
25.5,140,89,2755,15.8,10
36.1,98,66,1800,14.4,10
23,120,88,2957,17,10
24,90,75,2108,15.5,10
18,250,78,3574,21,15
26.6,350,105,3725,19,20
32,85,70,1990,17,10
20.3,131,103,2830,15.9,12.5
27,97,60,1834,19,10
17,304,150,3672,11.5,20
21,140,72,2401,19.5,10
13,400,170,4746,12,20
24,107,90,2430,14.5,10
17,260,110,4060,19,20
39.1,79,58,1755,16.9,10
14.5,351,152,4215,12.8,20
13,350,145,3988,13,20
20.2,302,139,3570,12.8,20
27,101,83,2202,15.3,10
35,72,69,1613,18,10
15,318,150,3777,12.5,20
36.4,121,67,2950,19.9,12.5
30,111,80,2155,14.8,10
31.9,89,71,1925,14,10
26,97,46,1835,20.5,10
16,225,105,3439,15.5,15
20,140,90,2408,19.5,10
18.6,225,110,3620,18.7,15
14,400,175,4464,11.5,20
25,97.5,80,2126,17,10
33,105,74,2190,14.2,10
14,318,150,4096,13,20
18.5,360,150,3940,13,20
37.2,86,65,2019,16.4,10
18,232,100,3288,15.5,15
44.3,90,48,2085,21.7,10
18,250,105,3459,16,15
28,140,90,2264,15.5,10
43.4,90,48,2335,23.7,10
20.6,231,105,3380,15.8,15
19.2,231,105,3535,19.2,15
26.4,140,88,2870,18.1,10
18,232,100,2945,16,15
28,97,75,2155,16.4,10
26,121,113,2234,12.5,10
13,400,190,4422,12.5,20
25.8,156,92,2620,14.4,10
28.1,141,80,3230,20.4,10
13,350,165,4274,12,20
16.5,350,180,4380,12.1,20
31.5,89,71,1990,14.9,10
24,120,97,2489,15,10
15,250,72,3158,19.5,15
18,225,105,3613,16.5,15
33.5,151,90,2556,13.2,10
32.4,108,75,2350,16.8,10
27,97,88,2130,14.5,10
13,350,155,4502,13.5,20
31,91,68,1970,17.6,10
28,151,90,2678,16.5,10
27.2,135,84,2490,15.7,10
21,120,87,2979,19.5,10
19,121,112,2868,15.5,10
25,110,87,2672,17.5,10
23,350,125,3900,17.4,20
19,156,108,2930,15.5,15
15.5,351,142,4054,14.3,20
23.9,119,97,2405,14.9,10
22,250,105,3353,14.5,15
29,97,75,2171,16,10
14,302,137,4042,14.5,20
15,318,150,3399,11,20
27,112,88,2640,18.6,10
15,350,145,4440,14,20
30.5,98,63,2051,17,10
25,104,95,2375,17.5,10
17.5,305,140,4215,13,20
34,112,88,2395,18,10
38,262,85,3015,17,15
30,79,70,2074,19.5,10
19.8,200,85,2990,18.2,15
25,121,115,2671,13.5,10
21,122,86,2226,16.5,10
26,98,79,2255,17.7,10
16.5,168,120,3820,16.7,15
18.1,258,120,3410,15.1,15
46.6,86,65,2110,17.9,10
21.5,121,110,2600,12.8,10
14,454,220,4354,9,20
21.6,121,115,2795,15.7,10
15.5,350,170,4165,11.4,20
20.5,225,100,3430,17.2,15
23.9,260,90,3420,22.2,20
12,455,225,4951,11,20
20.2,200,85,2965,15.8,15
34.4,98,65,2045,16.2,10
23,120,97,2506,14.5,10
24.3,151,90,3003,20.1,10
19,232,90,3211,17,15
29,68,49,1867,19.5,10
23.5,173,110,2725,12.6,15
34,108,70,2245,16.9,10
37,119,92,2434,15,10
33,91,53,1795,17.5,10
18,232,100,2789,15,15
15,390,190,3850,8.5,20
34.7,105,63,2215,14.9,10
19.4,232,90,3210,17.2,15
32,91,67,1965,15.7,10
34.1,86,65,1975,15.2,10
33.7,107,75,2210,14.4,10
20,225,100,3651,17.7,15
15,258,110,3730,19,15
38.1,89,60,1968,18.8,10
26,108,93,2391,15.5,10
27,97,88,2100,16.5,10
16,318,150,4498,14.5,20
17,250,100,3329,15.5,15
13,318,150,3940,13.2,20
28,112,88,2605,19.6,10
14,455,225,3086,10,20
31.5,98,68,2045,18.5,10
34.5,105,70,2150,14.9,10
11,429,208,4633,11,20
16,250,105,3897,18.5,15
31.6,120,74,2635,18.3,10
19.1,225,90,3381,18.7,15
18.5,250,110,3645,16.2,15
15,250,72,3432,21,15
18,199,97,2774,15.5,15
35,122,88,2500,15.1,10
20.2,200,88,3060,17.1,15
13,302,129,3169,12,20
31,112,85,2575,16.2,10
22,122,86,2395,16,10
11,400,150,4997,14,20
33.5,85,70,1945,16.8,10
43.1,90,48,1985,21.5,10
25.4,183,77,3530,20.1,12.5
40.8,85,65,2110,19.2,10
14,400,175,4385,12,20
29.8,134,90,2711,15.5,10
16,318,150,4190,13,20
20.6,225,110,3360,16.6,15
18,307,130,3504,12,20
33,91,53,1795,17.4,10
31.8,85,65,2020,19.2,10
13,351,158,4363,13,20
20,198,95,3102,16.5,15
32,83,61,2003,19,10
13,440,215,4735,11,20
23.7,70,100,2420,12.5,7.5
19.2,305,145,3425,13.2,20
37,91,68,2025,18.2,10
18,318,150,3436,11,20
19,120,88,3270,21.9,10
32.3,97,67,2065,17.8,10
18,225,105,3121,16.5,15
13,360,175,3821,11,20
12,350,160,4456,13.5,20
36,105,74,1980,15.3,10
18.2,318,135,3830,15.2,20
19,232,100,2634,13,15
30,146,67,3250,21.8,10
15,429,198,4341,10,20
11,350,180,3664,11,20
10,360,215,4615,14,20
16,250,100,3278,18,15
14,455,225,4425,10,20
16.9,350,155,4360,14.9,20
13,360,170,4654,13,20
25,116,81,2220,16.9,10
21,200,85,2587,16,15
21.1,134,95,2515,14.8,10
26,122,80,2451,16.5,10
28,97,92,2288,17,10
29,90,70,1937,14,10
16,351,149,4335,14.5,20
26.6,151,84,2635,16.4,10
19,70,97,2330,13.5,7.5
32.8,78,52,1985,19.4,10
22,140,72,2408,19,10
19,122,85,2310,18.5,10
31,76,52,1649,16.5,10
23,115,95,2694,15,10
29.5,97,71,1825,12.2,10
17.5,318,140,4080,13.7,20
19,250,100,3282,15,15
24,134,96,2702,13.5,10
14,304,150,4257,15.5,20
28,90,75,2125,14.5,10
21,155,107,2472,14,15
22.4,231,110,3415,15.8,15
36,107,75,2205,14.5,10
18,171,97,2984,14.5,15
16.2,163,133,3410,15.8,15
39.4,85,70,2070,18.6,10
30,97,67,1985,16.4,10
18,121,112,2933,14.5,10
17.5,305,145,3880,12.5,20
28.8,173,115,2595,11.3,15
22,121,98,2945,14.5,10
34.2,105,70,2200,13.2,10
30.5,97,78,2190,14.1,10
16,400,230,4278,9.5,20
38,105,63,2125,14.7,10
41.5,98,76,2144,14.7,10
27.9,156,105,2800,14.4,10
22,198,95,2833,15.5,15
29.8,89,62,1845,15.3,10
17.7,231,165,3445,13.4,15
15,350,165,3693,11.5,20
14,340,160,3609,8,20
15.5,400,190,4325,12.2,20
17.5,258,95,3193,17.8,15
12,350,180,4499,12.5,20
29,97,78,1940,14.5,10
15.5,304,120,3962,13.9,20
35.7,98,80,1915,14.4,10
26,97,75,2265,18.2,10
30,98,68,2155,16.5,10
33.8,97,67,2145,18,10
18,225,95,3785,19,15
13,302,140,4294,16,20
20,262,110,3221,13.5,20
32.4,107,72,2290,17,10
16,304,150,3433,12,20
27.5,134,95,2560,14.2,10
23,97,54,2254,23.5,10
14,351,153,4129,13,20
17,305,130,3840,15.4,20
16,400,170,4668,11.5,20
23,122,86,2220,14,10
24,119,97,2545,17,10
27,151,90,2735,18,10
15,350,145,4082,13,20
27,140,86,2790,15.6,10
28,120,79,2625,18.6,10
14,350,165,4209,12,20
33.5,98,83,2075,15.9,10
39,86,64,1875,16.4,10
24,140,92,2865,16.4,10
26.5,140,72,2565,13.6,10
19.4,318,140,3735,13.2,20
15,318,150,4135,13.5,20
25.5,122,96,2300,15.5,10
14,304,150,3672,11.5,20
27.4,121,80,2670,15,10
13,302,130,3870,15,20
19,225,100,3630,17.7,15
17,163,125,3140,13.6,15
28,116,90,2123,14,10
22,108,94,2379,16.5,10
30,88,76,2065,14.5,10
18,70,90,2124,13.5,7.5
14,318,150,4077,14,20
22,146,97,2815,14.5,15
23.8,151,85,2855,17.6,10
24,200,81,3012,17.6,15
26,97,78,2300,14.5,10
26,97,46,1950,21,10
30,135,84,2385,12.9,10
29,90,70,1937,14.2,10
14,351,153,4154,13.5,20
25.4,168,116,2900,12.6,15
19,232,100,2901,16,15
12,400,167,4906,12.5,20
20,97,88,2279,19,10
27,97,88,2130,14.5,10
22.3,140,88,2890,17.3,10
10,307,200,4376,15,20
19.2,267,125,3605,15,20
26,156,92,2585,14.5,10
16,258,110,3632,18,15
37.3,91,69,2130,14.7,10
26,79,67,1963,15.5,10
20.2,232,90,3265,18.2,15
13,318,150,3755,14,20
21,199,90,2648,15,15
25,90,71,2223,16.5,10
20.5,231,105,3425,16.9,15
37.7,89,62,2050,17.3,10
36,120,88,2160,14.5,10
20,156,122,2807,13.5,15
37,85,65,1975,19.4,10
18,250,88,3021,16.5,15
27,151,90,2950,17.3,10
29.5,98,68,2135,16.6,10
17.5,250,110,3520,16.4,15
25.1,140,88,2720,15.4,10
